Input	Result_address	GPS-north-lat	GPS-East-long	Eastings	Northings
SO40 2RZ	SO40 2RZ	50.9313	-1.530052	433122	114755
SO40 2TA	SO40 2TA	50.931614	-1.52541	433448	114792
RG24 9RH	RG24 9RH	51.282738	-1.112358	462004	154107
PO9 2JJ	PO9 2JJ	50.856522	-0.975584	472202	106834
SO40 2RZ	SO40 2RZ	50.9313	-1.530052	433122	114755
WA9 3DA	WA9 3DA	53.439528	-2.718901	352342	393880
WA2 8WA	WA2 8WA	53.429516	-2.606862	359775	392697
L35 5DR	L35 5DR	53.420469	-2.784954	347931	391806
WA7 2DA	WA7 2DA	53.323266	-2.694681	353825	380930
L13 4AW	L13 4AW	53.407566	-2.915589	339231	390474
L31 1HW	L31 1HW	53.518669	-2.915374	339404	402834
PR8 6PL	PR8 6PL	53.640182	-2.983572	335069	416411
L9 1EP	L9 1EP	53.451064	-2.969018	335745	395360
L9 7BB	L9 7BB	53.467708	-2.933303	338141	397180
BB7 9PE	BB7 9PE	53.829706	-2.423673	372212	437131
L14 3PJ	L14 3PJ	53.410784	-2.895349	340581	390815
L19 5NG	L19 5NG	53.356366	-2.894132	340586	384760
L15 2HE	L15 2HE	53.39158	-2.936659	337742	388742
L8 7LF	L8 7LF	53.395563	-2.969396	335636	389186
PR4 3HA	PR4 3HA	53.792197	-2.87956	342155	433235
BB2 3HH	BB2 3HH	53.73556	-2.462716	369574	426674
PR7 1PP	PR7 1PP	53.665775	-2.636599	358034	418997
PR2 9HT	PR2 9HT	53.791521	-2.706842	353532	433031
PR3 2JH	PR3 2JH	53.817666	-2.654728	356992	435907
L39 2AZ	L39 2AZ	53.564616	-2.871252	342392	407909
FY4 4XQ	FY4 4XQ	53.796488	-2.985407	335189	433804
LA3 2SL	LA3 2SL	54.035949	-2.891582	341704	460363
LA1 4JJ	LA1 4JJ	54.03258	-2.804651	347393	459920
LA14 1NB	LA14 1NB	54.116196	-3.233729	319452	469628
PR5 6YA	PR5 6YA	53.737606	-2.655804	356839	427002
BB1 3BL	BB1 3BL	53.751593	-2.466955	369306	428458
BB2 1NT	BB2 1NT	53.743496	-2.492051	367645	427570
LA9 7RG	LA9 7RG	54.306116	-2.731605	352493	490303
LA14 4LF	LA14 4LF	54.136395	-3.207899	321179	471847
E9 6SR	E9 6SR	51.550634	-0.046099	535570	185336
E7 8QP	E7 8QP	51.540929	0.043312	541797	184426
LU4 9WT	LU4 9WT	51.897021	-0.464115	505778	223167
LU5 5BF	LU5 5BF	51.898363	-0.526164	501504	223227
LU4 0FB	LU4 0FB	51.897411	-0.474726	505047	223195
E13 8SH	E13 8SH	51.523002	0.037335	541438	182421
E9 5TD	E9 5TD	51.548067	-0.037672	536160	185066
E14 4DG	not found	0	0	0	0
E15 4ES	E15 4ES	51.541412	0.010023	539489	184416
N4 2ES	N4 2ES	51.56882	-0.094943	532131	187269
E7 8QP	E7 8QP	51.540929	0.043312	541797	184426
LU5 5BF	LU5 5BF	51.898363	-0.526164	501504	223227
MK40 2NT	MK40 2NT	52.141696	-0.459651	505507	250384
AL3 5JF	AL3 5JF	51.755586	-0.34391	514406	207619
SG5 1JN	SG5 1JN	51.949849	-0.279727	518324	229325
WD5 0HT	WD5 0HT	51.703252	-0.402543	510485	201708
AL4 0TZ	AL4 0TZ	51.74851	-0.293683	517891	206912
HP3 8BL	HP3 8BL	51.746408	-0.453098	506890	206432
CM23 3LB	not found	0	0	0	0
WD17 3XE	WD17 3XE	51.659129	-0.405266	510404	196797
SG13 7HX	SG13 7HX	51.799856	-0.05952	533903	213026
WD6 1WA	WD6 1WA	51.659614	-0.268484	519865	197067
WD7 9HQ	WD7 9HQ	51.702199	-0.305562	517189	201742
HP1 1LD	HP1 1LD	51.755076	-0.472318	505543	207368
WD7 9HQ	WD7 9HQ	51.702199	-0.305562	517189	201742
WD7 9HQ	WD7 9HQ	51.702199	-0.305562	517189	201742
HP3 9JW	HP3 9JW	51.747382	-0.452551	506927	206542
AL5 4TA	AL5 4TA	51.819052	-0.352959	513622	214663
WD5 0HT	WD5 0HT	51.703252	-0.402543	510485	201708
SG1 4YS	SG1 4YS	51.928351	-0.214009	522899	227043
SG1 4YS	SG1 4YS	51.928351	-0.214009	522899	227043
SG5 1HF	SG5 1HF	51.950465	-0.283031	518097	229389
SG5 2EN	SG5 2EN	51.946596	-0.294557	517315	228940
SG1 4AB	SG1 4AB	51.924611	-0.212726	522999	226630
AL7 4HQ	AL7 4HQ	51.783371	-0.188611	525046	210963
WD7 9HQ	WD7 9HQ	51.702199	-0.305562	517189	201742
AL3 5TL	AL3 5TL	51.761931	-0.34562	514272	208322
NR13 5EW	NR13 5EW	52.646496	1.409584	630751	310875
SG8 7DD	SG8 7DD	52.052534	-0.020718	535814	241198
CM7 2YN	CM7 2YN	51.886887	0.536178	574635	223964
CO3 4DB	CO3 4DB	51.891022	0.855361	596579	225237
AL3 4AU	AL3 4AU	51.745637	-0.354515	513699	206496
WD18 0JL	WD18 0JL	51.656295	-0.401601	510666	196488
AL8 6JE	not found	0	0	0	0
WD7 9HQ	WD7 9HQ	51.702199	-0.305562	517189	201742
AL10 8YE	AL10 8YE	51.766985	-0.216688	523154	209093
WD7 9HQ	WD7 9HQ	51.702199	-0.305562	517189	201742
CM17 9NA	CM17 9NA	51.771411	0.128977	546990	210225
BS2 9RU	BS2 9RU	51.466587	-2.575506	360119	174337
EX39 3AG	EX39 3AG	51.017812	-4.212783	244891	126602
EX2 5AG	EX2 5AG	50.714782	-3.504168	293904	91653
EX31 4JB	EX31 4JB	51.092169	-4.050431	256506	134540
TQ3 2DW	TQ3 2DW	50.449075	-3.554532	289728	62181
TQ2 5RS	TQ2 5RS	50.469071	-3.535967	291092	64377
EX2 9JD	EX2 9JD	50.705328	-3.542287	291190	90656
EX6 8AB	EX6 8AB	50.681115	-3.506106	293690	87911
EX2 4TL	EX2 4TL	50.720943	-3.515344	293128	92353
EX16 6NT	EX16 6NT	50.909404	-3.492967	295131	113277
EX8 4DD	EX8 4DD	50.631362	-3.391975	301649	82221
TQ2 7AA	TQ2 7AA	50.482316	-3.553804	289857	65876
EX2 5AF	EX2 5AF	50.715395	-3.506298	293754	91723
EX7 0NR	EX7 0NR	50.599669	-3.468178	296190	78801
EX14 2DE	EX14 2DE	50.794926	-3.186577	316467	100156
EX2 5SN	EX2 5SN	50.714769	-3.503091	293980	91650
EX1 3PQ	EX1 3PQ	50.73179	-3.482394	295478	93512
EX2 9HS	EX2 9HS	50.712399	-3.549433	290703	91454
EX2 4NU	EX2 4NU	50.718023	-3.514982	293148	92029
EX2 5AG	EX2 5AG	50.714782	-3.504168	293904	91653
EX31 1QL	EX31 1QL	51.091227	-4.055902	256120	134446
RG12 7EP	not found	0	0	0	0
SL2 5BX	SL2 5BX	51.520082	-0.597729	497390	181061
RG18 3AS	RG18 3AS	51.406375	-1.291779	449358	167721
RG1 5LR	RG1 5LR	51.450745	-0.955523	472676	172935
RG40 1XJ	RG40 1XJ	51.410524	-0.831575	481360	168592
SL6 1LD	SL6 1LD	51.522297	-0.722108	488755	181149
BN3 4AG	BN3 4AG	50.830147	-0.184248	527971	104972
BN3 5PA	BN3 5PA	50.830777	-0.184863	527926	105041
BN3 7HY	BN3 7HY	50.842041	-0.189766	527550	106285
BN11 2ET	BN11 2ET	50.812943	-0.357769	515794	102773
PO19 6GU	PO19 6GU	50.846365	-0.770268	486672	105925
PO19 6GS	PO19 6GS	50.84668	-0.771155	486609	105959
PO19 6WD	PO19 6WD	50.850479	-0.772357	486441	106135
BN13 3EP	BN13 3EP	50.84121	-0.411162	511965	105834
BN13 3BW	not found	0	0	0	0
BN21 2UD	BN21 2UD	50.786969	0.271108	560184	101058
BN27 4EP	BN27 4EP	50.890082	0.263564	559298	112505
BN27 4HU	BN27 4HU	50.881826	0.275547	560170	111615
TN37 7PT	TN37 7PT	50.88769	0.561978	580294	112927
TN37 7PT	TN37 7PT	50.88769	0.561978	580294	112927
TN22 5AW	TN22 5AW	50.96595	0.105639	547952	120614
RH11 7SE	RH11 7SE	51.13084	-0.191546	526637	138395
RH12 4HN	not found	0	0	0	0
RH16 4NQ	RH16 4NQ	50.991202	-0.093785	533877	123041
DL6 2FF	DL6 2FF	54.348329	-1.434461	436860	494900
TS4 3AF	TS4 3AF	54.555732	-1.217681	450695	518112
	not found	0	0	0	0
DH3 3JX	DH3 3JX	54.847382	-1.574431	427425	550369
DL14 6AE	DL14 6AE	54.654838	-1.680756	420695	528907
DH1 5RD	DH1 5RD	54.800429	-1.612241	425026	545130
DL14 6QN	DL14 6QN	54.647143	-1.690006	420102	528048
DL3 6HX	DL3 6HX	54.530374	-1.563733	428331	515098
YO12 7SN	YO12 7SN	54.284736	-0.404516	503966	488850
YO31 8TA	YO31 8TA	53.976566	-1.077403	460609	453781
SR8 3DY	SR8 3DY	54.786016	-1.346462	442127	543653
YO17 7NG	YO17 7NG	54.137245	-0.806547	478071	471925
TS17 8QW	TS17 8QW	54.543157	-1.30331	445170	516656
TS5 4EE	TS5 4EE	54.562124	-1.25715	448134	518797
YO12 6DN	YO12 6DN	54.296061	-0.424989	502604	490082
DL2 2TS	DL2 2TS	54.543494	-1.591147	426549	516546
TS24 8LN	TS24 8LN	54.693266	-1.21234	450868	533421
DL5 4PE	DL5 4PE	54.629869	-1.581815	427095	526162
TS10 5RT	TS10 5RT	54.592599	-1.08634	459135	522318
	not found	0	0	0	0
CA1 3SX	CA1 3SX	54.874932	-2.883741	343390	553709
TS5 4EE	TS5 4EE	54.562124	-1.25715	448134	518797
CA28 8JG	CA28 8JG	54.530059	-3.562598	298977	516098
DH5 8NB	DH5 8NB	54.838552	-1.468087	434261	549433
NE8 1QE	NE8 1QE	54.956935	-1.6093	425118	562547
NE61 3BP	NE61 3BP	55.184911	-1.711886	418444	587885
NE42 5NT	not found	0	0	0	0
NE61 2NU	NE61 2NU	55.178558	-1.682805	420299	587186
NE3 3XT	NE3 3XT	55.006488	-1.6331	423565	568053
NE1 4LP	NE1 4LP	54.98022	-1.618869	424492	565134
NE4 6BE	NE4 6BE	54.976238	-1.644546	422850	564683
SR5 1NB	SR5 1NB	54.924547	-1.386785	439399	559045
NE6 4QD	NE6 4QD	54.989373	-1.56163	428149	566174
NE31 2TH	NE31 2TH	54.966918	-1.521465	430736	563692
SR2 0NB	SR2 0NB	54.863934	-1.36932	440579	552310
CH2 1BQ	CH2 1BQ	53.211544	-2.898825	340071	368653
SK10 3SZ	not found	0	0	0	0
SK11 8QA	SK11 8QA	53.259377	-2.145322	390403	373607
CH63 4JY	CH63 4JY	53.332283	-3.025848	331781	382197
SK10 3BL	SK10 3BL	53.262321	-2.141074	390687	373934
SK10 4UJ	SK10 4UJ	53.286315	-2.265667	382386	376627
CH2 1UL	CH2 1UL	53.2088	-2.897884	340130	368347
CH2 1BQ	CH2 1BQ	53.211544	-2.898825	340071	368653
S60 2UD	S60 2UD	53.413972	-1.34288	443775	390997
DN16 2JX	DN16 2JX	53.566985	-0.638575	490262	408681
WF8  1QW	not found	0	0	0	0
WF9 4LX	WF9 4LX	53.608738	-1.351348	443015	412660
HD9 6LL	HD9 6LL	53.606515	-1.783543	414420	412239
HX3 0PW	HX3 0PW	53.704821	-1.857509	409504	423164
HX1 1YR	HX1 1YR	53.724868	-1.862959	409140	425392
HX5 0QF	HX5 0QF	53.681685	-1.849638	410029	420591
WF13 4LL	WF13 4LL	53.694943	-1.645031	423536	422114
HD1 3LT	HD1 3LT	53.640245	-1.787001	414180	415991
S72 8UA	S72 8UA	53.57974	-1.415757	438780	409397
S71 5RG	S71 5RG	53.557503	-1.440249	437178	406908
S73 8QH	S73 8QH	53.523214	-1.412507	439047	403110
WF13 4HS	WF13 4HS	53.702267	-1.65188	423080	422925
WF1 2TE	WF1 2TE	53.682538	-1.502922	432929	420790
DE22 3LZ	DE22 3LZ	52.91807	-1.512351	432886	335737
DE22 3NE	DE22 3NE	52.910425	-1.513523	432813	334886
B24 9SA	B24 9SA	52.517467	-1.834649	411317	291076
B18 5SD	B18 5SD	52.492848	-1.929888	404857	288327
B93 0QA	B93 0QA	52.379799	-1.744762	417471	275782
B23 6DJ	B23 6DJ	52.523882	-1.857329	409777	291788
B23 6DJ	B23 6DJ	52.523882	-1.857329	409777	291788
B23 6AL	B23 6AL	52.519439	-1.855192	409923	291294
B13 9RY	B13 9RY	52.441329	-1.883693	408003	282602
B92 7JQ	B92 7JQ	52.438336	-1.808061	413145	282280
B23 6AL	B23 6AL	52.519439	-1.855192	409923	291294
B31 5HE	B31 5HE	52.4009	-1.995568	400398	278097
B10 9JH	B10 9JH	52.472895	-1.834788	411319	286118
B45 9PL	B45 9PL	52.396373	-2.008994	399485	277595
B92 8PW	B92 8PW	52.442703	-1.78571	414663	282775
B37 7JB	B37 7JB	52.469562	-1.739254	417810	285768
B18 5SD	B18 5SD	52.492848	-1.929888	404857	288327
B10 9JH	B10 9JH	52.472895	-1.834788	411319	286118
B37 7RW	B37 7RW	52.471602	-1.739242	417810	285995
B23 6DW	B23 6DW	52.52317	-1.855828	409879	291709
B45 9BE	B45 9BE	52.400185	-2.008333	399530	278019
B23 6DJ	B23 6DJ	52.523882	-1.857329	409777	291788
B31 1XH	B31 1XH	52.433806	-1.979187	401512	281759
B10 0PG	B10 0PG	52.470789	-1.865818	409212	285881
B13 8QY	B13 8QY	52.440919	-1.897096	407092	282555
B14 4AP	B14 4AP	52.419279	-1.877399	408435	280150
B93 0QA	B93 0QA	52.379799	-1.744762	417471	275782
B23 6AL	B23 6AL	52.519439	-1.855192	409923	291294
B1 3RB	B1 3RB	52.484114	-1.917317	405712	287358
B23 6AL	B23 6AL	52.519439	-1.855192	409923	291294
B19 1BP	B19 1BP	52.501203	-1.920535	405491	289257
B11 4HL	B11 4HL	52.448963	-1.867473	409104	283453
B15 2FG	B15 2FG	52.448906	-1.942587	403999	283440
B15 2SY	B15 2SY	52.447916	-1.940779	404122	283330
B13 8JL	B13 8JL	52.445923	-1.892891	407377	283112
B9 5PU	B9 5PU	52.475709	-1.839082	411027	286432
B24 9SA	B24 9SA	52.517467	-1.834649	411317	291076
M25 3BL	M25 3BL	53.536749	-2.291465	380780	404495
M28 0FE	M28 0FE	53.527843	-2.422823	372068	403546
M6 8HD	M6 8HD	53.487545	-2.323424	378637	399030
M30 9HF	M30 9HF	53.489006	-2.341009	377471	399198
BL4 0JR	BL4 0JR	53.553957	-2.429894	371617	406456
M41 5SL	M41 5SL	53.45406	-2.370681	375482	395320
M25 3BL	M25 3BL	53.536749	-2.291465	380780	404495
M14 5BY	M14 5BY	53.458264	-2.218728	385574	395746
M23 9LT	M23 9LT	53.387922	-2.293183	380598	387938
M8 5RB	M8 5RB	53.517882	-2.229502	384880	402381
WN7 1YN	WN7 1YN	53.501414	-2.523117	365398	400650
RH1 4AU	RH1 4AU	51.236116	-0.16069	528503	150155
KT16 9AU	KT16 9AU	51.390096	-0.50575	504065	166732
GU7 1QU	GU7 1QU	51.184055	-0.617836	496699	143666
GU2 7LX	GU2 7LX	51.235093	-0.584465	498922	149386
KT16 0QA	KT16 0QA	51.375974	-0.531684	502292	165125
GU16 7ER	GU16 7ER	51.31664	-0.748264	487331	158247
KT16 9FG	KT16 9FG	51.389653	-0.507565	503941	166680
KT17 4QJ	KT17 4QJ	51.334202	-0.261525	521204	160891
KT19 8PB	KT19 8PB	51.341707	-0.301654	518391	161660
RH4 1QJ	RH4 1QJ	51.231642	-0.337078	516201	149364
CR7 6AD	CR7 6AD	51.389433	-0.113733	531341	167287
KT19 8QJ	KT19 8QJ	51.346879	-0.274744	520250	162279
GU11 1AY	GU11 1AY	51.254364	-0.76565	486237	151301
RH1 1TA	RH1 1TA	51.239641	-0.171595	527732	150528
CT1 1AZ	CT1 1AZ	51.276859	1.106171	616739	157662
ME19 5HT	ME19 5HT	51.301147	0.409966	568100	158538
DA2 6PB	DA2 6PB	51.446359	0.241649	555872	174313
DA2 8DA	not found	0	0	0	0
ME7 5PA	ME7 5PA	51.379862	0.542062	577004	167601
ME16 9PH	ME16 9PH	51.273212	0.485699	573484	155608
CT13 0JU	CT13 0JU	51.24345	1.303846	630690	154550
CT9 4BF	CT9 4BF	51.376442	1.386606	635782	169598
CV11 5HX	CV11 5HX	52.526988	-1.477708	435531	292252
CV6 6EJ	CV6 6EJ	52.4498	-1.481962	435304	283664
CV2 2TE	CV2 2TE	52.422449	-1.445541	437802	280638
CV34 5QW	CV34 5QW	52.288853	-1.5944	427762	265711
CV34 5XN	CV34 5XN	52.293609	-1.585835	428344	266245
CV34 5BW	CV34 5BW	52.289965	-1.583203	428525	265839
B37 7HL	B37 7HL	52.4712	-1.744102	417480	285949
BD9 6DP	BD9 6DP	53.809728	-1.805354	412915	434844
N5 1PB	N5 1PB	51.551432	-0.107788	531289	185312
NW3 5BY	NW3 5BY	51.547952	-0.174377	526684	184808
N5 2AR	N5 2AR	51.55195	-0.093888	532253	185395
N19 3TA	N19 3TA	51.57221	-0.127371	529874	187588
N19 5JG	N19 5JG	51.566621	-0.142333	528853	186940
NW1 9HJ	NW1 9HJ	51.544347	-0.13502	529423	184476
S35 0JW	S35 0JW	53.421117	-1.52033	431975	391698
S35 0JW	S35 0JW	53.421117	-1.52033	431975	391698
B70 8NL	B70 8NL	52.519221	-1.998748	400182	291260
B71 2BG	B71 2BG	52.537974	-1.991995	400640	293346
B71 4NH	B71 4NH	52.527815	-1.98644	401017	292216
WV4 5HN	WV4 5HN	52.558669	-2.159187	389305	295660
B69 2DG	B69 2DG	52.50221	-2.021214	398657	289368
WV1 2ND	WV1 2ND	52.586559	-2.09524	393644	298753
WV10 9TH	WV10 9TH	52.609747	-2.115041	392307	301336
WS3 2JJ	WS3 2JJ	52.613749	-2.004845	399769	301775
WS2 9XH	WS2 9XH	52.582148	-2.002431	399932	298258
DY1 2LZ	DY1 2LZ	52.502901	-2.116853	392165	289451
DY5 1RG	DY5 1RG	52.47992	-2.119236	391999	286895
DY8 4DG	DY8 4DG	52.466539	-2.150855	389848	285409
PO30 1BA	PO30 1BA	50.69918	-1.297331	449721	89074
CO15 1LH	CO15 1LH	51.786083	1.148173	617230	214402
LS15 8ZB	LS15 8ZB	53.796822	-1.426439	437878	433543
NG7 2TU	NG7 2TU	52.951902	-1.18381	454966	339618
NG7 2UH	NG7 2UH	52.943799	-1.185957	454800	338800
CA28 7QE	CA28 7QE	54.544711	-3.586626	297459	517764
PR5 6GD	PR5 6GD	53.735475	-2.66218	356416	426767
LU7 2TD	LU7 2TD	51.91736	-0.671771	491449	225148
BN2 3EW	BN2 3EW	50.831176	-0.114497	532878	105210
S61 1AJ	S61 1AJ	53.430336	-1.377275	441473	392797
DE7 8LN	DE7 8LN	52.988092	-1.320818	445691	343633
WA14 5JF	WA14 5JF	53.402361	-2.360755	376112	389565
M33 7FT	M33 7FT	53.426816	-2.324212	378554	392274
BL3 2RX	BL3 2RX	53.567013	-2.4184	372387	407904
BL3 2RR	BL3 2RR	53.566241	-2.418015	372412	407818
BD20 6TD	BD20 6TD	53.897957	-1.962728	402547	444642
